,,0,,0,-96290,-93964.1,,-381926.9,
100,6.9806,695.5,42.7568,3580.2,-95594.5,-93976.8,205.6239,-382356.6,824.791
200,7.7331,1422.6,47.7676,8130.9,-94867.4,-94023.3,102.9158,-383746.8,406.0574
298.15,8.874,2238.2,51.0701,12988.3,-94051.8,-94051.8,69.0895,-384466,267.9023
300,8.8942,2254.6,51.125,13082.9,-94035.4,-94052.1,68.6644,-384478.1,266.1644
400,9.8762,3195,53.8234,18334.4,-93095,-94068.9,51.5346,-385071.4,196.0941
500,10.6646,4223.4,56.115,23834.1,-92066.6,-94090.6,41.2547,-385561.4,153.9919
600,11.3098,5323.1,58.1183,29547.8,-90966.8,-34123.3,34.3995,-385971.5,125.8907
700,11.8456,6481.7,59.9032,35450.5,-89808.3,-94166.7,29.5009,-386317.7,105.7986
800,12.2929,7689.3,61.5151,41522.7,-88600.7,-94216.8,25.8251,-386611.4,90.7169
900,12.667,8937.9,62.9852,47748.8,-87352.1,-94269.1,22.9646,-386861.9,78.9785
1000,12.9804,10220.7,64.3365,54115.8,-86069.3,-94320.7,20.675,-387076.5,69.5821
1100,13.2438,11532.3,65.5864,60612.8,-84757.7,-94370.4,18.8006,-387261.1,61.8901
1200,13.466,12868.1,66.7486,67230.2,-83421.9,-94418.9,17.2378,-387420.6,55.4773
1300,13.6545,14224.4,67.8341,73959.9,-82065.6,-94467,15.9148,-387559,50.049
1400,13.8154,15598.1,68.852,80794.7,-80691.9,-94515.6,14.7802,-387679.5,45.3946
1500,13.9536,16986.7,69.81,87728.3,-79303.3,-94565.2,13.7963,-387784.9,41.3596
1600,14.0732,18388.2,70.7145,94755,-77901.8,-94616.1,12.935,-387877.3,37.8281
1700,14.1773,19800.8,71.5708,101869.6,-76489.2,-94668.8,12.1746,-387958.8,34.7113
1800,14.2686,21223.2,72.3838,109067.7,-75066.8,-94723.8,11.4983,-388030.8,31.9404
1900,14.3491,22654.2,73.1575,116345.1,-73635.8,-94781.8,10.8929,-388094.9,29.4606
2000,14.4206,24092.7,73.8954,123698,-72197.3,-94843.2,10.3476,-388152.2,27.2285
2100,14.4844,25538,74.6005,131123,-70752,-94908.3,9.8539,-388203.8,25.2087
2200,14.5418,26989.4,75.2757,138617.1,-69300.6,-94977.2,9.4048,-388250.6,23.3723
2300,14.5937,28446.2,75.9232,146177.3,-67843.8,-95049.9,8.9945,-388293.5,21.6953
2400,14.6409,29908,76.5454,153800.9,-66382,-95126.7,8.618,-388333.1,20.158
2500,14.684,31374.3,77.1439,161485.5,-64915.7,-95207.6,8.2714,-388370.2,18.7435
2600,14.7235,32844.7,77.7206,169228.9,-63445.3,-95292.4,7.9511,-388405.4,17.4377
2700,14.76,34318.9,78.277,177029,-61971.1,-95381.3,7.6544,-388439.1,16.2285
2800,14.7938,35796.6,78.8144,184883.7,-60493.4,-95474.2,7.3785,-388471.8,15.1056
2900,14.8253,37277.5,79.3341,192791.3,-59012.5,-95571.2,7.1214,-388504.1,14.06
3000,14.8547,38761.5,79.8372,200750,-57528.4,-95672.2,6.8812,-388536.2,13.0841
3100,14.8823,40248.4,80.3247,208758.2,-56041.6,-95777.2,6.6563,-388568.5,12.171
3200,14.9082,41737.9,80.7976,216814.4,-54552,-95886.1,6.4452,-388601.3,11.3149
3300,14.9328,43230,81.2567,224917.3,-53060,-95998.8,6.2466,-388634.9,10.5107
3400,14.956,44724.5,81.7029,233065.3,-51565.5,-96115,6.0595,-388669.6,9.7537
3500,14.9781,46221.2,82.1367,241257.4,-50068.8,-96234.6,5.8829,-388705.4,9.0399
3600,14.9992,47720.1,82.559,249492.3,-48569.9,-96357.5,5.7159,-388742.7,8.3657
3700,15.0194,49221,82.9702,257768.9,-47069,-96483.8,5.5577,-388781.6,7.7278
3800,15.0387,50723.9,83.371,266086,-45566.1,-96613.3,5.4076,-388822.2,7.1235
3900,15.0573,52228.7,83.7619,274442.7,-44061.3,-96745.8,5.2651,-388864.6,6.5501
4000,15.0752,53735.3,84.1434,282838.1,-42554.7,-96881.1,5.1294,-388908.9,6.0053
4100,15.0925,55243.7,84.5158,291271.1,-41046.3,,,-388955.2,5.487
4200,15.1092,56753.8,84.8797,299740.9,-39536.2,,,-389003.5,4.9934
4300,15.1253,58265.5,85.2354,308246.8,-38024.4,,,-389053.9,4.5226
4400,15.1411,59778.9,85.5833,316787.8,-36511.1,,,-389106.4,4.0732
4500,15.1563,61293.7,85.9238,325363.2,-34996.3,,,-389161.1,3.6437
4600,15.1712,62810.1,86.257,333972.3,-33479.9,,,-389217.8,3.2328
4700,15.1857,64328,86.5835,342614.4,-31962,,,-389276.7,2.8394
4800,15.1998,65847.2,86.9033,351288.8,-30442.7,,,-389337.7,2.4623
4900,15.2137,67367.9,87.2169,359994.8,-28922.1,,,-389400.8,2.1005
5000,15.2272,68890,87.5244,368731.9,-27400,,,-389465.9,1.7531
5100,15.2405,70413.4,87.8261,377499.5,-25876.6,,,-389533.1,1.4193
5200,15.2535,71938.1,88.1221,386297,-24351.9,,,-389602.2,1.0983
5300,15.2662,73464,88.4128,395123.8,-22826,,,-389673.3,0.7893
5400,15.2787,74991.3,88.6983,403979.3,-21298.7,,,-389746.2,0.4917
5500,15.2911,76519.8,88.9787,412863.2,-19770.2,,,-389821,0.2049
5600,15.3032,78049.5,89.2544,421774.9,-18240.5,,,-389897.5,-0.0717
5700,15.3151,79580.4,89.5253,430714,-16709.6,,,-389975.8,-0.3387
5800,15.3269,81112.5,89.7918,439679.8,-15177.5,,,-390055.7,-0.5965
5900,15.3384,82645.8,90.0539,448672.2,-13644.2,,,-390137.2,-0.8456
6000,15.3499,84180.2,90.3118,457690.5,-12109.8,,,-390220.2,-1.0865
